0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:02:27 -0300] "DELETE /InvestimentosWEB/carteirarest?id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:02:46 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4179
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:02:48 -0300] "DELETE /InvestimentosWEB/carteirarest?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:03:20 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:03:43 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:03:45 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:04:08 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:04:11 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:04:14 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:04:14 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:04:17 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:04:20 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:04:20 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:09:24 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:09:24 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:09:26 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5402
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:09:35 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:09:39 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:09:39 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:09:43 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:47 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5293
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:49 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:49 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:49 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:53 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5293
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:56 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:56 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:10:56 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:09 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:09 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:09 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:12 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:14 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:14 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:51 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:56 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:11:56 -0300] "DELETE /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 405 1105
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:23 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:26 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:28 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:31 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:35 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:38 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:39 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:41 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:43 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:45 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:48 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:50 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:12:51 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5397
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:11 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5293
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:14 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:14 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:17 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:17 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:20 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:21 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:24 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:24 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:30 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:33 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:35 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:38 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:39 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5363
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:48 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5293
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:52 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:13:52 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:14:44 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:14:45 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:19:58 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:20:00 -0300] "DELETE /InvestimentosWEB/carteirarest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:20:01 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4959
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:26:26 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:26:31 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:27:02 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4780
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:27:53 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:28:01 -0300] "DELETE /InvestimentosWEB/carteirarest?id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:28:01 -0300] "GET /InvestimentosWEB/carteirarest.jsp HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [29/Sep/2020:10:28:12 -0300] "PUT /InvestimentosWEB/carteirarest?id=4&nome=Zelia%20Silva&lucro_esperado=20000.0&prejuiso_maximo=10000.0&perfil_investimento=Moderado HTTP/1.1" 302 -
